lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
14,2,104.0,12,18,4,0,1,0,0,1
34,1,107.55,10,15,4,3,1,0,0,1
47,1,140.4,5,21,4,1,1,0,3,1
15,0,151.0,7,6,4,3,0,0,0,1
1,1,0.0,6,7,1,1,0,0,0,1
160,0,90.0,4,27,3,4,2,0,0,0
52,0,85.5,4,18,4,1,1,3,0,1
103,1,135.0,10,18,4,3,0,0,0,1
7,0,139.0,8,7,4,5,2,3,0,0
86,0,132.6,5,10,4,4,0,0,3,1
1,0,161.88,11,8,2,1,0,0,0,1
109,0,104.4,10,28,4,2,0,0,3,0
55,0,112.59,9,28,4,2,0,3,0,0
23,2,57.59,11,25,4,2,2,3,0,1
31,1,69.5,2,6,4,1,2,3,0,1
131,0,115.94,6,19,4,3,2,0,0,0
118,0,110.0,6,6,3,3,1,0,0,1
80,1,140.4,5,1,4,1,2,0,3,1
124,1,48.33,3,15,3,5,1,0,0,1
129,0,112.5,7,6,4,1,0,3,0,0
83,0,75.0,12,18,3,1,2,0,0,1
75,1,126.9,6,9,4,3,0,0,0,1
125,2,97.71,6,17,4,2,1,0,0,1
67,1,123.3,7,20,4,2,0,0,3,1
267,0,95.0,9,30,4,2,1,0,0,0
0,0,65.0,8,3,2,2,1,0,0,1
69,2,126.9,5,17,4,3,0,0,0,1
88,0,105.3,7,24,4,0,1,0,0,0
116,2,135.9,9,23,4,1,0,0,0,1
56,1,116.1,5,13,4,2,1,3,0,1
3,1,91.0,3,8,4,3,0,0,0,1
62,1,79.2,12,24,4,1,2,3,0,1
29,0,156.0,5,18,4,1,0,0,3,0
237,1,116.62,9,13,4,11,4,0,3,0
44,2,148.28,10,14,4,2,2,0,3,1
161,1,96.9,7,15,3,2,1,0,0,1
8,0,95.2,9,11,4,0,2,3,0,1
122,2,150.45,6,13,4,4,1,0,3,1
14,1,89.0,9,14,2,1,0,0,0,1
86,1,187.85,5,15,4,2,2,0,5,1
21,0,119.0,4,13,4,1,0,3,0,1
0,0,0.0,6,16,1,1,0,0,0,1
24,1,119.0,9,28,4,1,0,3,0,1
20,0,119.0,9,19,2,3,1,0,0,1
152,2,105.3,8,20,4,1,0,0,0,0
8,0,85.57,8,21,4,5,2,0,0,1
6,1,114.0,9,20,4,0,1,3,0,1
40,0,95.0,7,26,3,1,0,1,0,1
153,2,130.5,7,23,4,1,1,0,0,0
184,1,139.5,8,17,4,1,0,1,0,0
190,2,177.3,7,18,4,1,1,0,5,0
7,0,101.0,3,23,4,1,0,0,0,0
23,2,88.0,12,7,4,1,0,3,0,1
55,1,83.3,2,26,4,2,1,0,0,1
62,1,109.8,9,1,4,3,0,0,0,1
7,1,151.19,10,29,4,1,2,1,0,1
87,1,56.94,3,20,4,2,2,0,0,1
11,1,92.5,12,25,4,1,0,3,0,1
32,0,152.98,10,2,4,3,2,1,3,1
49,0,44.67,3,12,3,1,2,0,0,1
98,1,109.81,4,30,4,5,2,0,0,1
34,0,69.3,10,18,3,0,1,0,0,1
8,3,129.2,6,4,4,1,0,0,0,1
0,1,164.0,10,9,4,1,0,0,0,1
15,1,118.33,4,15,4,2,1,0,0,1
9,0,61.5,1,16,4,6,2,0,3,1
111,3,168.3,9,16,4,2,0,0,3,1
54,2,146.92,10,9,4,1,2,0,5,1
47,1,70.12,6,19,4,2,2,3,0,1
35,1,88.4,11,16,4,4,0,0,0,1
11,2,90.0,11,19,4,1,1,3,0,1
98,1,90.0,11,2,4,4,1,0,0,1
16,1,109.0,3,17,4,3,0,0,0,1
9,1,130.0,8,20,4,1,0,0,0,0
29,0,46.67,11,14,3,1,2,0,3,1
44,0,91.2,11,19,4,1,1,0,0,0
102,0,111.7,8,28,4,12,6,3,0,0
33,0,79.11,10,21,3,4,0,1,0,1
11,0,160.0,5,24,3,3,0,1,0,1
76,1,58.9,3,27,4,3,2,3,0,1
191,0,100.3,5,11,4,4,1,0,0,0
3,0,66.0,1,21,2,1,0,0,0,1
24,1,141.0,3,26,4,1,1,0,0,1
247,1,70.03,10,28,4,2,2,0,0,0
32,0,96.0,12,4,4,0,2,0,0,1
24,1,139.0,7,23,4,1,1,3,0,1
194,2,77.23,4,17,4,3,2,0,0,1
191,0,132.0,6,3,3,2,1,0,0,0
147,1,126.9,9,14,4,5,2,0,0,1
13,2,153.0,8,27,4,1,0,0,5,1
23,0,54.75,9,6,3,2,2,0,0,1
2,1,0.0,9,10,1,1,0,0,0,1
12,0,135.0,5,7,4,1,0,0,0,0
25,0,72.93,12,4,4,5,2,0,0,1
261,1,79.62,12,26,4,5,1,0,0,0
77,1,99.9,10,30,4,0,2,0,0,1
6,3,119.0,12,28,4,4,0,0,3,1
23,2,88.0,11,17,4,2,0,3,0,1
105,1,61.09,12,26,4,3,1,3,0,1
188,1,90.95,7,4,4,17,7,0,0,0
130,2,6.0,3,25,1,1,0,0,0,1
1,1,139.0,8,26,4,1,0,3,0,1
113,0,151.2,10,9,4,3,2,0,3,1
16,1,103.0,3,18,4,1,0,0,0,1
322,0,82.79,12,30,4,3,2,0,0,0
8,1,107.0,11,11,4,3,0,0,3,1
15,0,97.0,3,12,4,1,2,0,0,0
202,0,94.33,11,2,4,4,0,0,0,0
28,2,147.67,10,4,4,3,0,0,0,1
121,0,90.95,6,4,3,2,2,0,3,1
308,0,68.69,9,1,4,3,0,3,0,0
42,2,85.5,9,21,4,3,1,0,0,1
132,0,105.83,7,5,4,4,0,0,0,0
3,0,95.0,11,10,0,1,0,0,3,1
1,0,0.0,3,2,4,1,0,0,0,1
118,1,105.3,5,9,4,2,1,0,0,1
95,2,84.6,11,20,4,0,2,0,0,0
42,0,103.5,3,27,4,0,2,0,0,0
124,1,72.25,12,17,4,3,0,0,0,0
4,0,154.5,12,19,4,1,0,0,1,1
32,1,72.42,9,2,4,1,0,3,0,1
96,1,87.3,4,18,4,2,1,0,0,1
292,0,90.0,7,21,3,2,0,1,0,1
49,0,106.25,5,19,3,5,2,1,0,1
143,1,120.0,6,3,4,2,1,0,0,1
82,2,98.25,9,5,4,1,0,0,0,1
13,0,73.0,4,26,3,3,0,1,0,1
5,3,239.0,9,24,4,1,1,0,5,1
144,2,129.6,9,23,4,3,2,0,0,1
48,0,109.65,5,7,4,4,2,3,0,0
44,0,107.1,4,4,4,0,1,3,0,0
44,1,101.34,4,25,4,3,1,0,0,1
59,1,93.6,11,26,4,1,2,0,0,1
10,2,81.0,12,24,4,1,0,0,0,1
167,1,119.7,8,21,4,0,2,0,0,0
6,0,109.65,11,10,2,1,0,0,0,1
143,1,114.3,8,14,4,2,2,0,0,1
0,1,80.3,1,6,4,2,0,0,0,1
17,1,75.4,11,12,4,3,2,0,0,1
1,1,82.0,3,15,3,3,0,0,0,1
36,1,64.67,11,15,4,5,0,0,0,1
11,0,58.0,12,11,3,2,1,0,0,1
0,1,55.0,3,2,2,2,0,0,0,1
62,1,60.29,3,14,4,2,1,0,0,1
5,0,106.83,2,12,4,8,4,0,3,0
59,1,134.62,12,22,4,2,0,0,5,1
31,0,168.63,10,19,4,1,0,0,5,0
77,0,149.4,9,14,4,3,0,0,3,0
56,0,68.72,10,9,4,4,2,0,1,0
4,0,65.0,10,12,2,0,1,0,0,1
150,2,96.9,7,10,4,5,2,0,0,1
304,0,74.15,10,21,4,2,1,0,0,0
1,0,92.0,4,6,3,1,0,1,3,1
7,1,139.0,9,11,4,0,2,0,0,1
54,2,118.8,10,2,4,0,2,0,0,1
105,1,110.08,5,2,4,3,1,0,3,1
10,0,104.0,9,19,2,1,1,0,0,1
139,1,96.3,7,4,4,0,1,0,0,1
21,0,81.0,2,25,4,2,0,3,0,1
27,0,65.0,11,29,2,0,1,0,0,1
3,0,189.75,2,29,4,3,1,0,5,1
124,2,72.25,12,28,4,3,1,0,0,1
32,1,75.0,11,15,1,2,0,0,4,1
11,0,31.0,3,16,3,3,0,0,1,1
5,0,177.33,9,12,4,2,1,0,3,0
145,1,269.3,8,4,4,3,0,0,6,0
83,0,79.2,11,3,4,3,1,3,0,0
2,2,85.0,6,13,4,0,1,0,0,1
153,0,113.1,6,20,4,2,1,0,0,0
130,0,194.85,5,5,4,3,0,0,1,1
16,1,95.0,9,10,3,1,0,0,0,1
256,0,106.2,6,28,4,3,0,0,0,0
160,0,70.67,12,30,3,3,0,0,0,1
102,1,94.5,7,26,4,2,0,3,0,0
116,0,61.0,2,28,3,1,2,0,0,0
50,2,52.0,1,14,3,3,0,0,0,1
134,0,133.2,8,23,4,4,0,0,3,0
3,2,65.0,8,9,3,1,2,0,1,1
20,1,151.0,7,23,4,1,2,0,0,1
35,1,73.1,3,4,4,2,0,3,0,1
14,0,62.0,5,18,3,4,0,0,0,1
1,1,146.7,7,10,4,0,1,0,3,1
187,2,134.45,7,11,4,5,2,0,3,0
74,0,168.3,9,14,4,4,0,0,3,1
96,1,84.58,4,17,4,2,2,0,0,1
5,2,171.26,2,1,4,0,1,0,6,1
1,2,155.54,9,17,4,1,1,0,3,1
1,0,85.0,9,29,2,2,0,0,0,1
93,1,79.0,10,8,4,1,2,3,0,1
69,0,79.05,3,16,4,4,1,0,0,0
3,0,162.0,8,10,4,1,1,0,5,1
58,0,109.8,12,8,4,2,0,0,0,0
19,0,46.4,2,15,3,4,1,0,0,1
255,0,123.75,12,30,4,2,2,0,3,1
97,1,79.8,10,30,4,1,2,3,0,0
23,3,129.0,9,28,4,2,0,3,0,1
88,2,96.9,7,18,3,2,1,0,0,1
11,1,130.0,11,5,4,1,0,0,0,0
9,0,68.0,12,16,3,2,1,0,0,1
4,0,65.0,12,8,2,2,0,0,0,1
101,0,68.0,7,9,3,2,2,0,0,0
167,1,105.83,7,8,4,2,2,0,0,0
5,3,104.0,4,12,2,3,0,0,0,1
298,0,75.0,5,10,3,2,0,0,0,0
10,1,75.0,1,17,4,0,2,3,0,1
8,1,104.25,12,13,4,0,1,0,1,1
4,0,66.0,1,4,2,0,1,0,0,1
148,0,90.9,8,26,4,2,1,0,0,0
94,0,117.9,8,23,4,2,0,0,0,0
5,2,166.5,12,2,4,2,0,0,3,1
63,0,99.0,9,3,4,1,0,3,0,0
118,1,114.3,8,13,4,3,2,0,0,1
0,0,124.0,9,9,4,1,0,0,0,1
25,0,62.64,12,26,4,1,2,0,0,1
48,0,186.52,10,25,3,3,2,1,5,1
289,0,67.0,10,17,3,1,0,0,0,1
3,0,128.0,10,2,4,2,2,0,0,1
238,1,132.6,10,4,4,5,2,0,3,0
26,0,187.0,7,2,4,1,2,0,3,0
256,0,76.67,9,14,3,2,1,0,0,1
12,2,120.35,5,30,4,1,1,0,0,1
0,0,124.0,8,21,4,2,1,0,0,0
3,0,120.0,6,10,3,2,0,0,0,1
85,0,152.1,8,3,4,3,0,0,3,0
346,1,115.0,9,13,4,2,0,1,0,0
28,2,94.5,10,5,4,0,1,0,0,1
107,1,87.67,6,13,4,3,1,0,0,1
249,0,119.85,10,2,4,3,2,0,0,0
4,1,211.33,9,14,3,2,1,0,5,1
7,1,18.0,12,6,4,1,0,0,0,1
184,2,82.12,8,17,4,1,0,1,0,0
4,1,119.0,8,29,4,0,1,3,0,1
22,0,80.8,2,12,4,2,2,0,3,0
193,2,106.71,9,10,4,1,2,0,0,0
12,0,114.0,11,7,4,1,2,0,0,1
350,2,91.95,12,26,4,3,1,0,0,0
196,1,116.1,9,5,4,3,1,0,0,0
144,1,116.1,9,7,4,5,2,3,0,1
36,2,102.6,10,13,4,1,0,3,0,1
2,0,65.0,5,5,2,1,0,0,0,1
164,1,100.0,10,2,3,1,0,0,0,1
65,1,100.0,10,2,3,2,0,0,0,1
40,1,96.9,12,7,4,4,0,0,3,1
48,0,89.3,2,11,4,2,0,0,0,1
28,1,133.95,5,1,4,2,2,0,0,1
211,2,121.55,8,22,4,4,1,0,3,0
1,0,136.0,10,4,4,1,2,0,3,1
163,0,79.2,12,2,4,2,0,3,0,0
63,0,89.25,10,10,4,3,2,0,0,1
42,0,74.0,2,26,3,2,0,0,0,1
14,3,113.0,9,4,4,2,2,1,0,1
220,1,105.84,6,2,4,3,0,0,0,0
38,1,83.9,3,5,4,1,2,0,0,1
114,0,198.9,5,20,4,2,0,0,5,0
41,0,85.67,3,13,2,1,2,0,0,1
81,1,79.2,12,8,4,3,0,3,0,1
107,1,92.28,5,12,4,3,2,0,0,1
63,1,99.79,4,24,4,3,2,0,0,1
14,2,156.0,8,22,4,1,1,0,3,1
64,0,149.4,9,16,4,1,0,0,3,0
46,0,86.4,12,7,4,3,0,0,0,0
151,0,70.0,1,19,3,3,0,0,0,1
89,1,121.8,7,26,4,5,1,0,3,1
28,0,85.5,10,3,3,2,1,0,0,1
110,0,113.5,12,9,3,4,0,0,6,1
225,1,92.65,10,5,4,4,0,3,0,0
87,1,106.25,10,23,3,1,2,1,0,1
58,0,56.6,12,23,3,4,0,1,0,1
11,0,138.0,3,3,4,3,1,1,0,0
54,1,95.0,10,29,3,1,2,0,1,1
47,1,168.3,9,11,4,1,2,0,3,1
7,0,80.0,10,12,2,0,1,3,0,1
0,0,113.33,11,5,4,4,2,1,0,1
14,2,151.0,7,2,4,3,2,0,0,1
1,1,66.0,12,6,3,1,2,3,0,1
65,0,75.0,11,18,3,2,0,0,0,1
74,0,132.3,10,21,4,2,0,0,3,0
24,2,145.0,10,24,4,1,0,0,0,1
33,1,116.1,5,16,4,0,1,3,0,1
163,0,115.0,10,15,3,1,2,0,0,0
49,0,142.2,9,2,4,1,0,0,3,0
2,0,103.0,11,23,4,1,0,0,0,0
72,0,108.0,9,18,3,1,0,1,0,1
16,1,80.3,1,22,4,2,0,0,0,1
6,2,187.0,9,15,4,1,0,0,0,1
21,1,85.0,10,7,3,1,0,0,0,1
11,0,174.33,7,18,3,2,1,0,4,1
83,2,132.3,10,19,4,4,0,0,3,1
63,0,210.6,5,14,4,1,1,1,3,0
4,0,60.4,2,14,3,0,1,3,0,0
24,1,85.0,10,16,3,1,2,0,0,1
3,0,95.0,10,16,3,3,2,0,0,1
84,0,116.1,6,10,4,2,0,3,0,0
72,1,122.4,7,21,4,3,2,0,3,1
107,1,76.5,8,12,4,1,0,0,1,1
34,1,120.9,3,26,4,1,2,0,0,1
45,0,96.3,9,18,3,2,2,0,3,1
327,0,88.0,9,9,3,4,2,1,0,1
55,0,149.4,8,16,4,3,0,0,3,0
30,0,77.5,3,4,4,2,0,0,0,1
224,1,86.63,8,1,4,2,1,0,1,1
43,1,74.8,11,29,4,11,4,0,0,0
35,1,129.0,10,28,4,2,1,0,0,1
18,2,88.0,11,28,4,0,1,3,0,1
151,2,104.85,10,23,4,2,2,0,0,0
108,2,101.58,4,26,4,4,0,0,3,1
4,0,95.0,4,19,0,2,0,0,0,1
3,2,130.0,10,28,4,2,2,3,0,1
32,1,96.3,10,19,4,2,1,0,0,1
100,1,123.3,7,22,4,2,0,0,3,1
39,1,89.3,1,17,4,0,2,0,3,1
118,0,119.0,6,6,3,1,1,0,0,1
18,2,155.0,11,6,4,0,2,0,0,1
1,1,80.0,3,15,3,3,0,0,0,1
4,0,108.0,2,26,4,2,1,0,3,1
9,0,200.75,4,8,4,6,2,0,5,0
15,0,131.0,4,22,4,1,0,0,0,0
57,0,94.5,4,24,4,0,1,3,0,0
276,0,95.0,9,22,3,3,0,0,0,0
86,0,90.0,9,9,2,2,0,0,0,1
42,1,75.95,1,17,4,0,2,0,0,1
0,0,149.0,9,1,4,1,0,3,0,1
19,0,82.83,2,18,4,3,0,0,0,1
2,0,66.0,1,13,2,2,0,0,0,1
27,1,126.0,4,12,4,3,0,0,3,1
182,2,117.9,9,30,4,2,0,0,0,0
8,0,169.38,9,21,2,2,0,0,3,1
24,0,95.0,10,3,2,0,1,0,0,1
0,1,104.0,11,2,4,1,1,0,0,1
85,0,140.4,6,2,4,1,0,0,3,0
11,1,102.41,8,16,4,2,0,3,0,1
16,0,6.0,3,8,1,2,0,0,3,1
3,2,253.67,3,30,4,3,0,1,5,1
148,0,74.8,11,16,4,4,0,3,0,0
1,1,104.72,7,5,4,1,0,0,0,1
4,0,12.0,10,19,4,0,1,0,0,1
158,1,90.95,8,25,4,3,1,0,0,1
173,2,100.8,3,31,4,3,0,0,0,0
0,0,55.76,11,25,4,1,0,3,0,1
110,0,80.0,10,9,4,1,2,0,0,0
5,4,0.0,8,24,1,2,0,0,0,1
6,0,90.0,8,24,4,2,1,0,0,1
167,0,102.0,9,16,4,4,0,0,3,0
53,1,61.5,2,27,3,4,2,0,0,1
10,0,169.0,6,12,4,6,4,0,3,0
61,1,95.66,9,1,4,5,2,3,0,1
277,0,79.57,9,5,3,5,2,1,0,1
20,0,116.0,11,22,4,1,0,0,0,1
118,1,104.4,10,29,4,1,2,0,3,1
54,0,66.5,10,16,3,2,2,0,0,1
49,1,73.8,11,11,4,2,0,3,0,0
0,0,95.0,10,5,2,1,0,0,0,1
193,0,110.7,12,29,4,3,0,0,3,1
189,0,109.8,10,28,4,2,1,0,3,0
29,2,88.4,11,29,4,5,0,0,0,1
23,0,95.98,9,7,4,7,3,0,0,1
8,0,119.0,5,25,4,1,0,3,0,1
309,0,101.0,5,13,3,2,1,1,0,0
38,0,168.3,8,17,4,1,0,0,3,1
18,1,160.0,10,21,4,1,0,0,0,1
0,0,79.0,1,21,4,1,0,3,0,1
88,1,72.25,3,31,4,6,2,3,0,1
103,0,78.2,7,6,3,4,1,3,0,1
0,0,6.0,4,8,4,1,0,0,5,1
189,1,106.75,8,15,4,4,1,1,0,0
177,0,100.0,6,3,4,2,0,0,0,0
81,1,117.9,8,13,4,3,2,0,0,1
247,1,100.3,9,26,4,5,2,0,0,0
47,0,75.0,10,30,3,5,2,0,0,1
2,0,90.78,11,26,4,3,2,0,0,1
70,0,149.4,9,15,4,2,0,0,3,0
15,1,93.56,6,2,4,3,1,3,0,1
3,0,85.0,10,15,3,3,0,0,3,1
101,1,126.9,5,5,4,3,0,0,0,1
17,0,97.0,3,19,4,1,1,3,0,0
56,0,68.64,3,15,4,4,0,3,0,0
0,0,103.2,5,18,3,1,0,3,0,1
1,0,79.0,11,26,2,1,0,0,0,1
133,1,99.45,5,9,4,4,1,0,0,1
161,1,109.8,8,25,4,2,0,0,3,0
2,1,84.5,2,22,4,3,1,0,0,1
2,1,119.0,7,24,4,0,1,3,0,1
286,1,117.0,9,16,4,2,0,1,0,0
94,0,137.7,7,14,4,3,0,0,3,0
64,1,140.0,5,17,2,2,0,0,0,1
145,2,148.1,8,8,4,4,1,0,3,1
68,3,135.0,10,8,4,1,2,0,0,1
99,1,114.3,6,29,4,3,0,0,0,1
19,1,139.0,7,2,4,2,2,3,0,0
100,1,86.09,4,8,4,5,2,0,0,1
55,1,78.3,3,16,4,2,0,0,0,1
133,1,104.76,6,2,4,3,1,3,0,0
58,0,81.08,4,24,4,1,2,0,0,1
271,1,101.33,9,21,3,3,0,0,0,0
23,1,91.0,2,21,4,0,1,0,0,0
19,1,94.35,6,12,4,0,1,0,0,1
45,1,78.54,10,22,4,3,1,0,3,1
249,0,96.3,10,28,4,2,1,0,0,0
16,2,155.6,11,6,4,3,2,3,0,1
117,0,76.0,2,29,3,2,1,0,0,1
42,1,141.3,6,26,4,0,2,0,3,1
58,0,123.3,3,28,4,0,1,0,3,0
1,0,76.5,1,8,4,2,0,3,0,1
41,1,104.99,8,15,4,2,1,3,0,1
152,2,99.0,7,11,4,1,1,0,0,1
0,0,0.0,11,18,1,1,0,0,0,1
35,0,85.5,9,17,3,1,1,0,0,1
9,0,95.0,10,20,2,1,0,0,0,1
18,0,91.38,12,8,4,3,1,0,0,1
9,1,85.0,2,12,4,2,1,0,0,0
122,3,144.9,9,7,4,4,2,0,3,1
58,0,96.08,4,21,4,3,2,0,4,1
5,1,149.0,9,7,4,1,0,3,0,1
78,0,82.45,3,31,4,3,2,0,0,1
78,0,85.5,4,8,4,2,0,3,1,0
155,1,96.12,8,22,4,5,2,0,0,1
11,1,145.0,10,3,4,2,2,0,0,1
12,2,141.0,5,2,4,0,1,0,0,1
17,0,75.0,10,5,3,2,1,0,3,1
111,1,105.3,7,14,4,2,0,0,0,1
2,0,72.75,4,17,3,2,2,0,0,1
44,1,71.1,3,9,4,3,0,3,0,1
148,3,118.8,10,4,4,3,0,0,0,1
72,1,96.9,7,17,3,4,2,0,0,1
58,1,54.05,12,24,4,1,0,3,0,1
104,0,61.43,2,29,4,5,1,0,0,0
249,0,89.25,10,22,4,2,2,0,0,0
85,0,80.1,10,27,4,2,0,3,0,0
0,0,138.0,8,12,4,2,0,0,0,0
154,0,109.8,8,24,4,2,0,0,0,0
191,0,86.75,7,25,4,4,1,0,0,0
176,2,130.05,8,1,4,4,1,0,3,0
0,3,0.0,1,27,1,1,0,0,0,1
13,0,86.8,2,29,3,3,1,0,3,0
52,3,94.5,10,23,4,2,1,0,0,1
38,1,80.3,1,23,4,1,0,0,0,1
110,0,153.4,8,22,4,1,1,0,0,1
24,2,107.0,10,8,4,2,0,0,0,1
22,0,97.0,11,26,4,2,0,0,0,0
16,2,210.0,9,26,4,2,2,0,0,1
88,0,108.0,10,10,4,3,1,3,0,0
14,2,74.61,9,2,4,5,2,0,3,1
45,0,75.0,10,30,3,2,2,0,0,1
12,2,129.0,10,29,4,1,2,3,0,1
5,1,65.0,8,2,2,1,0,0,0,1
88,1,90.95,4,16,4,3,2,0,0,1
11,1,87.0,1,29,4,2,0,1,0,1
87,0,74.15,4,14,4,1,0,0,0,0
3,0,66.0,1,18,2,2,1,0,0,1
254,0,91.0,9,16,3,2,0,1,0,1
46,0,71.0,1,1,4,2,0,0,0,1
10,1,104.72,4,20,4,3,0,0,3,0
128,0,85.5,8,28,4,0,2,3,0,1
155,1,119.71,8,1,4,9,3,0,0,0
7,0,151.0,8,7,4,2,2,0,0,0
250,2,72.08,7,16,3,1,2,0,0,1
0,0,126.0,9,12,4,1,1,0,0,0
145,0,72.5,8,29,3,1,2,1,0,1
4,2,159.0,9,15,4,1,0,0,0,1
99,1,97.71,5,22,4,1,2,0,0,1
92,2,72.25,7,15,3,3,2,0,0,1
44,1,78.49,3,13,4,2,2,0,0,0
377,0,90.0,10,14,4,2,0,1,0,0
102,1,108.0,10,9,4,0,1,3,0,1
107,0,65.49,4,25,4,3,1,0,0,1
34,0,104.85,10,16,4,2,0,0,0,1
47,1,76.56,11,11,4,3,2,3,0,0
89,2,104.0,12,10,4,1,1,0,0,1
158,1,69.92,4,16,4,1,2,0,1,1
48,1,84.45,1,8,4,5,2,0,0,1
33,1,104.0,11,11,4,2,0,3,0,1
212,0,80.75,8,11,4,3,1,3,0,0
239,0,112.2,6,15,3,2,0,1,0,0
0,0,79.0,2,12,4,2,0,3,0,1
0,3,0.0,6,28,1,2,0,0,3,1
1,2,80.0,8,4,4,5,1,0,0,1
14,2,159.33,6,12,4,1,2,0,3,1
36,1,99.48,11,15,4,4,0,1,3,0
154,1,118.8,10,6,4,2,0,0,0,0
69,0,135.9,9,11,4,0,2,0,0,0
9,0,75.0,7,27,3,3,0,3,0,1
3,1,169.0,8,26,4,2,0,0,0,1
232,2,91.45,12,28,4,4,0,0,0,1
130,0,105.3,5,23,4,1,1,0,0,0
76,1,80.75,9,15,4,5,0,0,0,1
112,2,168.3,5,20,4,2,0,0,3,1
178,1,127.62,7,28,4,5,2,0,3,0
14,1,109.0,6,12,4,0,2,3,0,1
126,1,88.68,4,19,4,5,1,0,0,1
64,1,214.2,4,17,4,3,2,1,5,1
107,0,117.28,11,6,4,2,2,0,3,1
67,1,86.4,11,26,4,1,1,0,0,1
6,0,72.25,6,15,3,4,1,3,0,1
19,1,130.0,2,19,4,5,2,0,3,1
2,1,101.0,1,29,4,2,0,0,0,1
31,2,129.0,10,26,4,3,0,0,0,1
130,1,153.3,10,31,4,2,1,0,5,1
104,0,111.78,5,4,4,4,0,0,0,0
1,0,166.0,7,2,4,1,1,0,3,1
17,0,67.0,11,17,2,1,0,0,0,0
4,0,80.2,2,28,3,4,2,0,3,1
3,0,163.67,8,23,4,3,0,0,3,0
5,0,89.0,3,23,4,1,0,3,0,0
20,0,79.0,3,31,2,2,0,0,0,0
75,0,105.0,10,30,3,0,2,1,0,0
17,1,97.5,8,29,4,4,2,0,0,0
239,0,112.2,6,15,4,2,0,1,0,0
150,0,123.3,7,30,4,2,2,0,3,0
49,0,124.3,5,6,4,2,0,0,3,1
22,1,79.0,2,16,4,2,0,3,0,1
47,1,89.08,11,12,4,3,2,0,0,1
8,1,72.07,2,9,4,1,0,0,0,1
39,1,73.81,11,11,4,3,2,0,0,1
34,1,66.0,2,17,3,4,1,0,0,1
57,1,88.4,12,2,4,2,2,0,0,1
107,1,124.2,11,4,4,2,1,1,0,0
6,0,123.2,8,29,4,3,1,0,3,1
240,0,106.2,6,9,4,3,0,0,0,0
60,1,107.1,3,31,4,3,0,0,0,0
252,1,53.47,12,29,4,3,1,3,0,1
4,1,161.0,5,28,4,1,0,0,0,1
1,2,137.0,3,4,4,2,1,0,0,1
23,0,118.98,10,28,4,4,1,0,0,1
125,2,72.25,12,23,4,4,0,0,0,1
163,0,80.75,10,2,3,3,2,0,0,1
75,0,75.0,4,25,3,3,1,0,0,1
44,2,149.4,9,18,4,3,2,0,3,1
238,1,94.07,9,1,4,4,2,0,0,1
25,1,65.0,12,27,3,1,0,0,0,1
32,1,64.22,2,22,4,2,1,0,3,1
237,0,134.73,10,13,4,3,1,0,3,0
70,1,78.3,2,11,4,3,0,3,0,0
34,0,112.5,3,23,4,1,0,0,3,0
204,0,72.75,10,9,3,2,2,0,0,1
47,1,115.2,12,6,4,0,2,0,0,1
5,0,91.0,2,16,4,3,0,0,0,1
47,1,125.1,9,9,4,2,0,3,0,1
106,0,86.06,4,26,4,6,2,3,0,0
73,1,135.0,10,12,4,4,1,0,0,0
85,0,52.36,7,5,4,1,2,0,0,0
257,1,67.15,12,26,4,4,1,3,0,0
271,0,85.67,9,21,3,3,0,0,0,1
57,3,87.3,9,7,4,1,0,3,0,1
17,2,135.0,10,7,4,1,0,3,0,1
56,0,159.3,5,3,4,2,0,0,0,0
188,0,116.7,8,30,4,3,0,0,0,0
8,0,120.95,5,29,3,3,2,1,3,1
3,2,84.0,4,7,4,2,0,3,0,1
291,0,115.0,8,19,3,2,0,1,0,0
63,1,99.9,6,20,4,2,1,0,0,1
36,1,135.9,8,11,4,1,0,0,0,0
3,0,99.0,8,17,2,3,1,0,0,0
227,0,77.35,10,29,4,3,2,3,0,0
125,0,155.7,8,12,4,2,1,0,3,1
175,2,83.01,11,12,4,2,2,0,0,0
3,1,178.0,9,15,4,1,0,0,0,1
41,1,140.4,8,20,4,2,2,0,0,1
1,3,105.0,8,11,4,3,0,0,0,1
66,0,75.0,10,9,4,2,1,0,0,0
30,1,76.08,11,17,4,3,0,0,0,1
443,0,65.0,4,29,4,1,0,0,0,0
194,0,86.62,7,9,4,1,2,0,1,0
11,1,103.1,12,19,4,3,1,0,0,1
47,0,80.75,10,16,3,2,2,0,0,1
25,1,80.08,11,22,4,3,0,0,0,1
18,1,139.0,9,20,4,1,0,0,0,1
56,0,75.0,11,14,3,2,1,0,0,1
109,1,85.0,3,20,3,1,2,0,5,1
278,0,84.15,12,27,3,5,0,0,0,1
1,1,92.0,2,22,4,0,1,0,0,1
1,0,65.0,11,4,2,1,0,0,0,1
61,1,120.6,7,17,4,3,2,0,3,1
77,0,90.95,3,20,4,2,2,0,3,1
41,0,65.0,2,7,3,3,2,0,0,1
183,1,112.0,8,3,4,4,1,0,0,0
11,0,90.0,6,14,2,3,0,0,3,0
42,1,81.73,4,24,4,5,2,0,0,1
29,1,143.52,5,9,4,4,1,0,3,1
2,2,99.0,8,9,4,0,2,0,0,1
